Day,Streams
2024-09-01,5664
2024-09-02,5280
2024-09-03,5145
2024-09-04,5095
2024-09-05,4142
2024-09-06,4921
2024-09-07,5236
2024-09-08,6667
2024-09-09,6072
2024-09-10,4204
2024-09-11,6091
2024-09-12,5441
2024-09-13,5147
2024-09-14,6256
2024-09-15,6566
2024-09-16,6392
2024-09-17,4701
2024-09-18,5068
2024-09-19,5527
2024-09-20,5983
2024-09-21,4547
2024-09-22,4685
2024-09-23,3735
2024-09-24,3538
2024-09-25,5240
2024-09-26,5636
2024-09-27,4272
2024-09-28,5177
2024-09-29,4556
2024-09-30,3625
2024-10-01,4525
2024-10-02,5599
2024-10-03,4218
2024-10-04,5711
2024-10-05,2016
2024-10-06,5200
2024-10-07,4639
2024-10-08,4402
2024-10-09,4873
2024-10-10,3126
2024-10-11,4844
2024-10-12,5489
2024-10-13,6619
2024-10-14,4936
2024-10-15,4779
2024-10-16,5146
2024-10-17,6498
2024-10-18,6029
2024-10-19,5298
2024-10-20,6258
2024-10-21,5885
2024-10-22,6651
2024-10-23,5110
2024-10-24,5390
2024-10-25,5259
2024-10-26,4205
2024-10-27,5687
2024-10-28,5543
2024-10-29,5192
2024-10-30,4852
2024-10-31,3662
2024-11-01,4433
2024-11-02,4382
2024-11-03,3856
2024-11-04,4331
2024-11-05,4751
2024-11-06,6011
2024-11-07,4415
2024-11-08,4451
2024-11-09,4134
2024-11-10,2476
2024-11-11,4201
2024-11-12,4320
2024-11-13,6542
2024-11-14,4228
2024-11-15,4764
2024-11-16,4565
2024-11-17,3659
2024-11-18,5860
2024-11-19,5634
2024-11-20,5796
2024-11-21,4390
2024-11-22,6590
2024-11-23,4177
2024-11-24,6067
2024-11-25,7596
2024-11-26,4804
2024-11-27,5240
2024-11-28,5874
2024-11-29,5346
2024-11-30,4398
2024-12-01,5831
2024-12-02,4769
2024-12-03,6089
2024-12-04,4756
2024-12-05,6885
2024-12-06,4679
2024-12-07,4979
2024-12-08,5879
2024-12-09,3913
2024-12-10,5099
2024-12-11,5947
2024-12-12,3206
2024-12-13,4709
2024-12-14,4679
2024-12-15,5065
2024-12-16,3180
2024-12-17,3054
2024-12-18,4681
2024-12-19,4467
2024-12-20,4433
2024-12-21,4548
2024-12-22,3671
2024-12-23,4558
2024-12-24,4694
2024-12-25,3883
2024-12-26,6313
2024-12-27,5177
2024-12-28,3801
2024-12-29,5590
