Price,Rating
9.13,2.72
1.7,2.34
19.71,4.25
6.13,3.23
28.26,4.47
28.65,4.56
27.52,5.0
11.72,3.02
1.44,2.87
27.91,4.35
13.41,3.33
29.02,5.0
28.93,4.94
25.73,4.71
9.53,3.82
12.16,3.36
25.67,4.64
10.18,3.06
5.91,3.08
17.14,3.63
28.14,4.52
21.17,4.28
17.52,3.32
3.81,3.81
18.83,3.32
29.7,3.97
5.05,3.43
16.02,4.02
26.43,4.66
22.47,4.39
21.2,3.98
21.36,3.55
11.42,3.34
9.5,2.83
24.46,4.7
24.48,4.14
26.14,3.92
27.47,4.26
15.82,3.81
15.53,3.31
24.14,3.78
19.84,4.01
21.35,4.12
24.07,3.93
26.8,4.14
10.79,3.37
11.88,2.61
3.72,2.06
17.76,3.38
2.03,2.54
14.49,3.67
16.73,4.41
9.3,3.58
18.12,3.69
1.87,2.62
2.07,2.14
24.85,4.23
11.44,3.16
4.67,2.99
16.14,3.22
23.32,4.39
7.25,3.77
19.05,3.78
3.47,2.94
2.49,3.02
16.4,3.45
16.67,3.78
19.48,3.87
22.05,4.09
29.29,4.16
15.96,3.63
10.36,3.47
24.05,4.91
8.84,3.6
13.72,4.54
3.27,2.35
1.73,3.06
28.91,4.62
25.23,5.0
21.17,3.58
12.85,2.98
6.02,2.62
5.53,1.83
8.25,2.81
16.92,3.3
21.71,4.09
20.14,4.08
9.11,4.08
28.68,4.98
22.39,3.78
17.07,3.25
18.73,4.06
13.16,2.76
8.17,3.99
11.31,3.88
22.97,3.87
1.41,1.74
4.36,3.48
2.32,2.61
2.17,3.27
25.8,3.51
21.4,3.7
14.74,3.53
3.83,2.79
15.25,3.34
14.72,3.84
6.01,2.39
13.57,3.38
12.55,3.44
18.85,4.08
19.41,4.21
2.3,2.1
11.85,2.56
19.14,4.48
15.58,3.76
25.83,3.93
20.09,4.68
5.72,2.96
3.04,3.3
19.62,3.91
1.76,3.65
17.98,4.64
28.26,4.35
17.68,4.22
12.25,3.68
19.65,4.56
14.28,3.02
16.81,4.02
28.29,5.0
12.19,2.47
28.86,3.93
27.25,3.39
6.67,2.83
3.0,3.07
3.91,3.52
1.52,2.64
3.73,3.58
20.8,3.27
3.05,1.86
10.24,3.19
25.49,4.48
1.66,2.6
24.61,3.19
9.16,3.1
4.42,2.16
21.2,4.32
19.23,4.03
26.44,3.88
22.31,3.8
24.29,3.67
